source,target,prediction
David J. Hawkes,A. A. J. Marley,N
Steven Feiner,A. A. J. Marley,N
Jürgen Wüst,A. A. J. Marley,N
Shlomo Shamai,A. A. J. Marley,N
Maurizio Talamo,A. A. J. Marley,N
Etienne E. Kerre,A. A. Ramadan,P
Munther A. Dahleh,A. A. Ramadan,N
Li Zhang 0002,A. A. Ramadan,N
José E. Moreira,A. C. Cem Say,N
Gregory D. Schuler,A. C. Kot,N
Nicholas A. Hamilton,A. C. Kot,N
Sun I. Kim,A. C. Kot,N
Srikrishna Bhashyam,A. David Marshall,N
Santosh Vempala,A. David Marshall,N
K. Chen,A. David Marshall,N
Jinxiang Chai,A. David Marshall,N
Sanjay Jain 0001,A. David Marshall,N
Leon O. Chua,A. Donald Keedwell,N
Ran Canetti,A. Donald Keedwell,N
Petr Somol,A. Enis Çetin,N
Jonathan Harrington,A. Enis Çetin,N
Paolo Nesi,A. Enis Çetin,N
Fiona H. Rohde,A. Faye Borthick,P
Paul L. Bowen,A. Faye Borthick,P
Dominique M. Durand,A. Faye Borthick,N
Francesc Giralt,A. Faye Borthick,N
Bhavani M. Thuraisingham,A. Faye Borthick,N
Herbert A. Simon,A. Faye Borthick,N
Matthew J. Katz,A. Frank van der Stappen,P
Wanquan Liu,A. Frank van der Stappen,N
Pierre-Olivier Amblard,A. Frank van der Stappen,N
Robert S. Bolia,A. Frank van der Stappen,N
Ilya Shmulevich,A. Gunasekaran,N
Stephen C. Graves,A. L. Narasimha Reddy,N
Sridha Sridharan,A. L. Narasimha Reddy,N
Kiril Ribarov,A. L. Narasimha Reddy,N
Li-Yan Yuan,A. L. Narasimha Reddy,N
Chun-Hung Chen,A. Lee Swindlehurst,N
Onno J. Boxma,A. Lee Swindlehurst,N
Jeffrey A. Davis,A. Lee Swindlehurst,N
M. Cecilia Verri,A. Lee Swindlehurst,N
Charles C. Weems,A. M. Abd-Alla,N
Drago Matko,A. M. Abd-Alla,N
Alessandra Di Pierro,A. M. Abd-Alla,N
Edward A. Fox,A. M. Abd-Alla,N
Athina P. Petropulu,A. Martin Wildberger,N
Yi-Feng Tsai,A. Martin Wildberger,N
Visvanathan Ramesh,A. Murat Tekalp,P
William Henderson,A. Murat Tekalp,N
Nader Sadegh,A. Murat Tekalp,N
Naoki Kobayashi 0001,A. Murat Tekalp,N
Cynthia Breazeal,A. Nazli Gündes,N
Alessandro Casavola,A. Nazli Gündes,N
Jan Van der Spiegel,A. Nazli Gündes,N
Bruce A. Draper,A. P. Wim Böhm,P
Paola Sebastiani,A. P. Wim Böhm,N
Marimuthu Palaniswami,A. R. D. Mathias,N
Paul Runkle,A. R. D. Mathias,N
Suhas N. Diggavi,A. Robert Calderbank,P
Dov Wulich,A. Robert Calderbank,N
Bhargab B. Bhattacharya,A. Robert Calderbank,N
Chiang Kao,A. Robert Calderbank,N
Ulrich Reif,A. Roger Hammons Jr.,N
G. W. Stewart,A. Roger Hammons Jr.,N
Andrew J. Sommese,A. Roger Hammons Jr.,N
Chiew Tong Lau,A. S. Madhukumar,P
Francois P. S. Chin,A. S. Madhukumar,P
Tatsuo Nakajima,A. S. Madhukumar,N
Viktor K. Prasanna,A. S. Madhukumar,N
Ted Pedersen,A. S. Madhukumar,N
Antonio Puliafito,A. S. Madhukumar,N
Francisco Argüello,A. S. Madhukumar,N
Shannon L. Fitzpatrick,A. Stephen Morse,N
Dhruv Mubayi,A. Stephen Morse,N
Angela Goh,A. Stephen Morse,N
Giorgio P. Faconti,A. Stephen Morse,N
Shun-ichi Amari,Aapo Hyvärinen,P
Soo-Young Lee,Aapo Hyvärinen,P
V. David Sánchez A.,Aapo Hyvärinen,P
Colin McDiarmid,Aapo Hyvärinen,N
Stefan Felsner,Aapo Hyvärinen,N
Ratko Orlandic,Aapo Hyvärinen,N
John V. Ringwood,Aaron F. Bobick,N
Michal Krízek,Aaron Marcus,N
Juan A. Mesa,Aaron Marcus,N
Luís Moniz Pereira,Aart Blokhuis,N
Anton J. Hopfinger,Aart Blokhuis,N
Federico Malucelli,Aart Blokhuis,N
Dino Pedreschi,Aart Blokhuis,N
Joseph Cheriyan,Aart Blokhuis,N
David G. Cory,Aart Blokhuis,N
Alfons Geser,Aart Middeldorp,P
Eric Clarkson,Aart Middeldorp,N
Kimmo E. E. Raatikainen,Aart Middeldorp,N
Spiridon D. Likothanassis,Aart Middeldorp,N
Pei Yu,Abba B. Gumel,P
Kokichi Sugihara,Abba B. Gumel,N
Richard C. M. Yam,Abba B. Gumel,N
Haidong Wu,Abba B. Gumel,N
Mani B. Srivastava,Abbas Edalat,N
José Santos Reyes,Abbas Edalat,N
Yoram Bresler,Abbas Edalat,N
Debabrata Dey,Abbe Mowshowitz,N
Jirí V. Outrata,Abbe Mowshowitz,N
José Luis Ambite,Abbe Mowshowitz,N
C. Lee Giles,Abby Goodrum,P
Katherine W. McCain,Abby Goodrum,P
Steve Lawrence,Abby Goodrum,P
Lixin Gao,Abby Goodrum,N
Sergio Antoy,Abby Goodrum,N
Rolf Niedermeier,Abdel Belaïd,N
Teresita Rojas,Abdel Belaïd,N
Steven Minton,Abdel Belaïd,N
Samia Loucif,Abdel Elah Al-Ayyoub,P
Eric Clarkson,Abdel Elah Al-Ayyoub,N
Dapeng Wu 0001,Abdel Elah Al-Ayyoub,N
Mark Jerrum,Abdel-Ouahab Boudraa,N
Antonio Pietrosanto,Abdel-Ouahab Boudraa,N
Eleftherios Tachtsis,Abdelhak M. Zoubir,N
Glenn W. Parsons,Abdelhak M. Zoubir,N
Bernd Blobel,Abdelhak M. Zoubir,N
Heikki Seppä,Abdelhak M. Zoubir,N
Norio Shiratori,Abdelhaq El Jai,N
Gurindar S. Sohi,Abdelhaq El Jai,N
Bradley C. Wheeler,Abdelhaq El Jai,N
K. K. Ramakrishnan,Abdelhaq El Jai,N
Francisco J. Prieto,Abdelhaq El Jai,N
Masa-aki Sato,Abdelhaq El Jai,N
