source,target
Curt H. Davis,A. A. Soliman
Colin Studholme,A. Ardeshir Goshtasby
Lawrence H. Staib,A. Ardeshir Goshtasby
Ivan Marsic,A. Ardeshir Goshtasby
Ertem Tuncel,A. Ardeshir Goshtasby
Lee M. Garth,A. C. Cem Say
Ion Petre,A. C. Cem Say
Gagan L. Choudhury,A. C. Cem Say
Donia Scott,A. C. Cem Say
Alessio Carullo,A. C. Cem Say
Wei Wang 0010,A. Chockalingam
Jesús Navarro-Moreno,A. Chockalingam
Eldon Y. Li,A. Chockalingam
Kaushal Chari,A. Chockalingam
Paul L. Rosin,A. David Marshall
Zhili Sun,A. David Marshall
Mahbub Hassan,A. Donald Keedwell
Peter Mihók,A. Donald Keedwell
Klaus Obermayer,A. Donald Keedwell
Thomas Stockhammer,A. Donald Keedwell
Jia-Guang Sun,A. Donald Keedwell
Robert Kozma 0001,A. F. El-Bassiouny
Nageswara S. V. Rao,A. F. El-Bassiouny
Teresa Serrano-Gotarredona,A. Fazel Famili
Dennis F. Galletta,A. Graham Peace
James Y. L. Thong,A. Graham Peace
M. P. Bekakos,A. Graham Peace
Paul W. H. Chung,A. Graham Peace
H. Jeff Smith,A. Graham Peace
James R. McDonald,A. Graham Peace
Willem Visser,A. Graham Peace
Andrzej Ruszczynski,A. Hamid Aghvami
Roger T. Alexander,A. Hamid Aghvami
Rekha R. Thomas,A. Hamid Aghvami
Fotini-Niovi Pavlidou,A. J. Han Vinck
Haniph A. Latchman,A. J. Han Vinck
Luo Yuan,A. J. Han Vinck
Raymond W. Yeung,A. J. Han Vinck
Victor K. Wei,A. J. Han Vinck
Wende Chen,A. J. Han Vinck
Steven Furnell,A. J. Han Vinck
Felix W. Wehrli,A. J. Han Vinck
J. N. Reddy,A. J. Han Vinck
Kun-Shan Chen,A. J. Han Vinck
Camil Demetrescu,A. J. van de Goor
Lou Caccetta,A. J. van de Goor
Otthein Herzog,A. J. van de Goor
Roger T. Alexander,A. Jefferson Offutt
Gordon D. Plotkin,A. John Power
Hannes Federrath,A. John Power
Norbert Fuhr,A. John Power
Rahul Mukerjee,A. John Power
Haili Chui,A. John Power
Marcel Waldvogel,A. John Power
E. Vance Wilson,A. K. Ray
Miguel Pasadas,A. Kouibia
Yun-Hui Liu,A. Kouibia
Maria Angeles Vázquez-Castro,A. Kouibia
Stamatis Vassiliadis,A. Kouibia
Swaroop Darbha,A. L. Narasimha Reddy
Robert I. Damper,A. L. Narasimha Reddy
Brian M. Sadler,A. Lee Swindlehurst
Robert F. H. Fischer,A. Lee Swindlehurst
