source,target,prediction
Curt H. Davis,A. A. Soliman,N
Colin Studholme,A. Ardeshir Goshtasby,N
Lawrence H. Staib,A. Ardeshir Goshtasby,N
Ivan Marsic,A. Ardeshir Goshtasby,N
Ertem Tuncel,A. Ardeshir Goshtasby,N
Lee M. Garth,A. C. Cem Say,N
Ion Petre,A. C. Cem Say,N
Gagan L. Choudhury,A. C. Cem Say,N
Donia Scott,A. C. Cem Say,N
Alessio Carullo,A. C. Cem Say,N
Wei Wang 0010,A. Chockalingam,N
Jesús Navarro-Moreno,A. Chockalingam,N
Eldon Y. Li,A. Chockalingam,N
Kaushal Chari,A. Chockalingam,N
Paul L. Rosin,A. David Marshall,N
Zhili Sun,A. David Marshall,N
Mahbub Hassan,A. Donald Keedwell,N
Peter Mihók,A. Donald Keedwell,N
Klaus Obermayer,A. Donald Keedwell,N
Thomas Stockhammer,A. Donald Keedwell,N
Jia-Guang Sun,A. Donald Keedwell,N
Robert Kozma 0001,A. F. El-Bassiouny,N
Nageswara S. V. Rao,A. F. El-Bassiouny,N
Teresa Serrano-Gotarredona,A. Fazel Famili,N
Dennis F. Galletta,A. Graham Peace,P
James Y. L. Thong,A. Graham Peace,N
M. P. Bekakos,A. Graham Peace,N
Paul W. H. Chung,A. Graham Peace,N
H. Jeff Smith,A. Graham Peace,P
James R. McDonald,A. Graham Peace,N
Willem Visser,A. Graham Peace,N
Andrzej Ruszczynski,A. Hamid Aghvami,N
Roger T. Alexander,A. Hamid Aghvami,N
Rekha R. Thomas,A. Hamid Aghvami,N
Fotini-Niovi Pavlidou,A. J. Han Vinck,N
Haniph A. Latchman,A. J. Han Vinck,N
Luo Yuan,A. J. Han Vinck,N
Raymond W. Yeung,A. J. Han Vinck,P
Victor K. Wei,A. J. Han Vinck,P
Wende Chen,A. J. Han Vinck,P
Steven Furnell,A. J. Han Vinck,N
Felix W. Wehrli,A. J. Han Vinck,N
J. N. Reddy,A. J. Han Vinck,N
Kun-Shan Chen,A. J. Han Vinck,N
Camil Demetrescu,A. J. van de Goor,N
Lou Caccetta,A. J. van de Goor,N
Otthein Herzog,A. J. van de Goor,N
Roger T. Alexander,A. Jefferson Offutt,P
Gordon D. Plotkin,A. John Power,P
Hannes Federrath,A. John Power,N
Norbert Fuhr,A. John Power,N
Rahul Mukerjee,A. John Power,N
Haili Chui,A. John Power,N
Marcel Waldvogel,A. John Power,N
E. Vance Wilson,A. K. Ray,N
Miguel Pasadas,A. Kouibia,N
Yun-Hui Liu,A. Kouibia,N
Maria Angeles Vázquez-Castro,A. Kouibia,N
Stamatis Vassiliadis,A. Kouibia,N
Swaroop Darbha,A. L. Narasimha Reddy,N
Robert I. Damper,A. L. Narasimha Reddy,N
Brian M. Sadler,A. Lee Swindlehurst,P
Robert F. H. Fischer,A. Lee Swindlehurst,N
Kathleen Hoffman,A. Lee Swindlehurst,N
Kotaro Hirasawa,A. Lee Swindlehurst,N
Jean-Michel Morel,A. Lee Swindlehurst,N
Peter Kabal,A. Lee Swindlehurst,N
Asuman Dogac,A. Lee Swindlehurst,N
Judee K. Burgoon,A. Lee Swindlehurst,N
Henry A. Kierstead,A. Lee Swindlehurst,N
S. Y. Ron Hui,A. Lee Swindlehurst,N
Der-Chyuan Lou,A. M. Abd-Alla,N
Dieter W. Fellner,A. M. Day,N
Cüneyt Güzelis,A. M. Day,N
Alessandro De Gloria,A. M. Day,N
Jennifer Seberry,A. M. Day,N
John C. Hart,A. M. Day,N
Alexander Schrijver,A. M. H. Gerards,P
Geoffrey P. Whittle,A. M. H. Gerards,P
Geoff Whittle,A. M. H. Gerards,P
Samuel Kaski,A. M. H. Gerards,N
Fatos T. Yarman-Vural,A. Murat Tekalp,P
Rajiv Mehrotra,A. Murat Tekalp,P
Juan A. Carrasco,A. Murat Tekalp,N
Joseph Sarkis,A. Murat Tekalp,N
Bruce A. Draper,A. P. Wim Böhm,P
J. Ross Beveridge,A. P. Wim Böhm,P
Linda G. Wallace,A. P. Wim Böhm,N
James F. Kurose,A. P. Wim Böhm,N
Lyn Bartram,A. P. Wim Böhm,N
Anastasios Stamoulis,A. Robert Calderbank,N
Naofal Al-Dhahir,A. Robert Calderbank,P
Ernst M. Gabidulin,A. Robin Forrest,N
David Ngo Chek Ling,A. Robin Forrest,N
Qing Zhao,A. Robin Forrest,N
Gabor T. Herman,A. Roger Hammons Jr.,N
Jaap van Pelt,A. Roger Hammons Jr.,N
Ting Chen,A. Senthil Kumar,N
Lida Xu,A. Senthil Kumar,N
Claudio De Persis,A. Stephen Morse,N
Daniel Liberzon,A. Stephen Morse,N
Jean-François Mertens,A. Stephen Morse,N
Márcia R. Cerioli,A. Stephen Morse,N
Karim Nour,A. Stephen Morse,N
Alex H. B. Duffy,A. Stephen Morse,N
Darren A. Natale,A. Volgenant,N
Francesc Esteva,A. Volgenant,N
Robert Babuska,A. Volgenant,N
Patricia Flatley Brennan,A. W. Roscoe,N
Deborah Estrin,A. W. Roscoe,N
Vassilis G. Kaburlasos,A. W. Roscoe,N
Karl Doerner,A. Özdes,N
Kate S. Hone,A. Özdes,N
Francesca Cuomo,Aapo Hyvärinen,N
S. S. Alam,Aapo Hyvärinen,N
Frances M. G. Pearl,Aaron Marcus,N
Dieter Jungnickel,Aart Blokhuis,P
Joseph A. Thas,Aart Blokhuis,P
Zsuzsa Weiner,Aart Blokhuis,N
Vladimir Makarenkov,Aart Blokhuis,N
Eytan Ruppin,Aart Blokhuis,N
Michael J. Flynn,Aart Blokhuis,N
U. Pal 0001,Aart van Harten,N
Magnus Boman,Aart van Harten,N
Peter Meer,Aart van Harten,N
Ron Weber,Aart van Harten,N
Marc Bezem,Aart van Harten,N
